source_workbook,source_sheet,source_row_number,cow_id,replication,thi_category,genetic_group,dry_matter_intake_kg_day
"DMI, milk yield and composition.xlsx",Sheet1,212,206,1,T0,HF50,9.95
"DMI, milk yield and composition.xlsx",Sheet1,213,206,2,T0,HF50,9.54
"DMI, milk yield and composition.xlsx",Sheet1,214,206,3,T0,HF50,9.51
"DMI, milk yield and composition.xlsx",Sheet1,215,206,4,T0,HF50,9.89
"DMI, milk yield and composition.xlsx",Sheet1,216,206,5,T0,HF50,8.62
"DMI, milk yield and composition.xlsx",Sheet1,217,206,1,T1,HF50,8.19
"DMI, milk yield and composition.xlsx",Sheet1,218,206,2,T1,HF50,9.3
"DMI, milk yield and composition.xlsx",Sheet1,219,206,3,T1,HF50,9.08
"DMI, milk yield and composition.xlsx",Sheet1,220,206,4,T1,HF50,9.48
"DMI, milk yield and composition.xlsx",Sheet1,221,206,5,T1,HF50,9.08
"DMI, milk yield and composition.xlsx",Sheet1,222,206,1,T2,HF50,8.36
"DMI, milk yield and composition.xlsx",Sheet1,223,206,2,T2,HF50,8.91
"DMI, milk yield and composition.xlsx",Sheet1,224,206,3,T2,HF50,8.83
"DMI, milk yield and composition.xlsx",Sheet1,225,206,4,T2,HF50,8.76
"DMI, milk yield and composition.xlsx",Sheet1,226,206,5,T2,HF50,8.97
"DMI, milk yield and composition.xlsx",Sheet1,227,207,1,T0,HF50,9.79
"DMI, milk yield and composition.xlsx",Sheet1,228,207,2,T0,HF50,9.41
"DMI, milk yield and composition.xlsx",Sheet1,229,207,3,T0,HF50,9.36
"DMI, milk yield and composition.xlsx",Sheet1,230,207,4,T0,HF50,9.7
"DMI, milk yield and composition.xlsx",Sheet1,231,207,5,T0,HF50,9.32
"DMI, milk yield and composition.xlsx",Sheet1,232,207,1,T1,HF50,9.07
"DMI, milk yield and composition.xlsx",Sheet1,233,207,2,T1,HF50,9.8
"DMI, milk yield and composition.xlsx",Sheet1,234,207,3,T1,HF50,8.94
"DMI, milk yield and composition.xlsx",Sheet1,235,207,4,T1,HF50,8.84
"DMI, milk yield and composition.xlsx",Sheet1,236,207,5,T1,HF50,9.14
